"INDICATOR_CODE","INDICATOR_NAME"
"NY.GNP.MKTP.CD","GNI (current US$)"
"FI.RES.TOTL.MO","Total reserves in months of imports"
"FI.RES.TOTL.DT.ZS","Total reserves (% of total external debt)"
"FI.RES.TOTL.CD","Total reserves (includes gold, current US$)"
"DT.TDS.MLAT.PG.ZS","Multilateral debt service (% of public and publicly guaranteed debt service)"
"DT.TDS.MLAT.CD","Multilateral debt service (TDS, current US$)"
"DT.TDS.DPPG.XP.ZS","Public and publicly guaranteed debt service (% of exports of goods, services and primary income)"
"DT.TDS.DPPG.GN.ZS","Public and publicly guaranteed debt service (% of GNI)"
"DT.TDS.DPPG.CD","Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)"
"DT.TDS.DPPF.XP.ZS","Debt service (PPG and IMF only, % of exports of goods, services and primary income)"
"DT.TDS.DIMF.CD","IMF repurchases and charges (TDS, current US$)"
"DT.TDS.DECT.GN.ZS","Total debt service (% of GNI)"
"DT.TDS.DECT.EX.ZS","Total debt service (% of exports of goods, services and primary income)"
"DT.TDS.DECT.CD","Debt service on external debt, total (TDS, current US$)"
"DT.ODA.ODAT.PC.ZS","Net ODA received per capita (current US$)"
"DT.ODA.ODAT.GN.ZS","Net ODA received (% of GNI)"
"DT.ODA.ODAT.CD","Net official development assistance received (current US$)"
"DT.NFL.RDBN.CD","Net financial flows, RDB nonconcessional (NFL, current US$)"
"DT.NFL.RDBC.CD","Net financial flows, RDB concessional (NFL, current US$)"
"DT.NFL.PRVT.CD","PPG, private creditors (NFL, US$)"
"DT.NFL.PROP.CD","PPG, other private creditors (NFL, current US$)"
"DT.NFL.PNGC.CD","PNG, commercial banks and other creditors (NFL, current US$)"
"DT.NFL.PNGB.CD","PNG, bonds (NFL, current US$)"
"DT.NFL.PCBO.CD","Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
"DT.NFL.PCBK.CD","PPG, commercial banks (NFL, current US$)"
"DT.NFL.PBND.CD","PPG, bonds (NFL, current US$)"
"DT.NFL.OFFT.CD","PPG, official creditors (NFL, US$)"
"DT.NFL.NIFC.CD","IFC, private nonguaranteed (NFL, US$)"
"DT.NFL.MOTH.CD","Net financial flows, others (NFL, current US$)"
"DT.NFL.MLAT.CD","Net financial flows, multilateral (NFL, current US$)"
"DT.NFL.MIDA.CD","Net financial flows, IDA (NFL, current US$)"
"DT.NFL.MIBR.CD","Net financial flows, IBRD (NFL, current US$)"
"DT.NFL.IMFN.CD","Net financial flows, IMF nonconcessional (NFL, current US$)"
"DT.NFL.IMFC.CD","Net financial flows, IMF concessional (NFL, current US$)"
"DT.NFL.DPNG.CD","Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
"DT.NFL.BOND.CD","Portfolio investment, bonds (PPG + PNG) (NFL, current US$)"
"DT.NFL.BLAT.CD","Net financial flows, bilateral (NFL, current US$)"
"DT.DOD.PVLX.GN.ZS","Present value of external debt (% of GNI)"
"DT.DOD.PVLX.EX.ZS","Present value of external debt (% of exports of goods, services and primary income)"
"DT.DOD.PVLX.CD","Present value of external debt (current US$)"
"DT.DOD.MWBG.CD","IBRD loans and IDA credits (DOD, current US$)"
"DT.DOD.MIDA.CD","PPG, IDA (DOD, current US$)"
"DT.DOD.MIBR.CD","PPG, IBRD (DOD, current US$)"
"DT.DOD.DSTC.ZS","Short-term debt (% of total external debt)"
"DT.DOD.DSTC.XP.ZS","Short-term debt (% of exports of goods, services and primary income)"
"DT.DOD.DSTC.IR.ZS","Short-term debt (% of total reserves)"
"DT.DOD.DSTC.CD","External debt stocks, short-term (DOD, current US$)"
"DT.DOD.DPPG.CD","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
"DT.DOD.DPNG.CD","External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
"DT.DOD.DLXF.CD","External debt stocks, long-term (DOD, current US$)"
"DT.DOD.DIMF.CD","Use of IMF credit (DOD, current US$)"
"DT.DOD.DECT.GN.ZS","External debt stocks (% of GNI)"
"DT.DOD.DECT.CD","External debt stocks, total (DOD, current US$)"
"BX.TRF.PWKR.CD.DT","Personal remittances, received (current US$)"
"BX.PEF.TOTL.CD.WD","Portfolio equity, net inflows (BoP, current US$)"
"BX.KLT.DINV.CD.WD","Foreign direct investment, net inflows (BoP, current US$)"
"BX.GSR.TOTL.CD","Exports of goods, services and primary income (BoP, current US$)"
"BX.GRT.TECH.CD.WD","Technical cooperation grants (BoP, current US$)"
"BX.GRT.EXTA.CD.WD","Grants, excluding technical cooperation (BoP, current US$)"
"BN.CAB.XOKA.CD","Current account balance (BoP, current US$)"
"BM.GSR.TOTL.CD","Imports of goods, services and primary income (BoP, current US$)"
